image_id,filename,wall_visible,room,direction,gt_mm,gt_adj_mm,f_wide,D_wide_mm,D_corr_mm,ER,error_wide_mm,error_corr_mm,error_wide_pct,error_corr_pct,status,note
024,올림픽파크포레온_411동고층_다른이미지__165_46__134_98__큰침실.png,both_clear,안방,좌우,4200,4040,576.1,4416,4468,0.9882,376,428,9.3,10.6,ok,발코니 슬라이딩 도어 정면
025,올림픽파크포레온_121동고층_125_41__95_97__거실1방향.png,both_clear,거실,좌우,4800,4640,406.4,4259,4392,0.9698,381,248,8.2,5.3,ok,"주방 방향, 좌측 대리석 벽"
026,올림픽파크포레온_121동고층_125_41__95_97__거실2방향.png,both_clear,거실,좌우,4800,4640,362.7,4773,4803,0.9937,133,163,2.9,3.5,ok,"창문 방향, 우측 대리석 벽"
027,개포자이프레지던스_422동중층_110_79__84_75__거실.png,both_clear,거실,좌우,4500,4340,882.5,4259,4250,1.0022,81,90,1.9,2.1,ok,"창문 정면, 양쪽 흰 벽"
028,개포자이프레지던스_422동중층_110_79__84_75__큰침실.png,one_unclear,안방,좌우,3600,3440,802.9,85,92,0.918,3355,3348,97.5,97.3,ok,드레스룸·파우더룸 입구 방향
029,개포자이프레지던스_408동저층_110_79__84_75__거실1방향.png,both_clear,거실,좌우,4500,4340,600.0,4353,4375,0.9948,13,35,0.3,0.8,ok,"창문 정면, 좌측 패널 벽"
030,개포자이프레지던스_408동저층_110_79__84_75__거실2방향.png,one_unclear,거실,좌우,4500,4340,382.7,178,190,0.9396,4162,4150,95.9,95.6,ok,"코너 촬영, 좌측 벽 잘림"
031,개포자이프레지던스_422동25층_150_21__114_18__거실.jpg,both_clear,거실,좌우,5300,5140,482.8,67,69,0.969,5073,5071,98.7,98.7,ok,"창문 정면, 양쪽 패널 벽"
032,개포자이프레지던스_419동고층_171_3__132_81__거실.png,one_unclear,거실,좌우,5100,4940,492.2,5010,5008,1.0003,70,68,1.4,1.4,ok,"광각 왜곡, 좌측 패널 벽"
033,개포자이프레지던스_419동18층_171_3__132_81__거실1방향.png,one_unclear,거실,좌우,5100,4940,499.0,1270,1255,1.0119,3670,3685,74.3,74.6,ok,"코너 촬영, 좌측 벽 잘림"
034,개포자이프레지던스_419동18층_171_3__132_81__거실2방향.png,both_clear,거실,좌우,5100,4940,530.2,,3917,,,,,,ransac_fail,"좌측 패널 벽, 우측 창문"
